,position,country,genre,original name,year,rating,count
Вселенная Стивена Хокинга,247,"Великобритания, Япония","биография, мелодрама","Theory of Everything, The",2014,7.9,152 905
Самый быстрый Indian,248,"Новая Зеландия, Япония","драма, биография","World's Fastest Indian, The",2005,8.0,69 532
Малышка на миллион,249,США,"драма, спорт",Million Dollar Baby,2004,8.1,200 258
Бойфренд из будущего,250,Великобритания,"фантастика, фэнтези",About Time,2013,7.9,142 360
О чём говорят мужчины,251,Россия,комедия,-,2010,7.8,228 194
Холодное сердце,252,"США, Норвегия","мультфильм, мюзикл",Frozen,2013,7.8,388 708
Эрнест и Селестина: Приключения мышки и медведя,253,"Франция, Бельгия","мультфильм, фэнтези",Ernest et Célestine,2012,8.0,16 625
Лекарь: Ученик Авиценны,254,Германия,"приключения, история","Physician, The",2013,7.7,83 027
Великий Гэтсби,255,"Австралия, США","драма, мелодрама","Great Gatsby, The",2013,7.9,337 964
"Знакомьтесь, Джо Блэк",256,США,"фэнтези, мелодрама",Meet Joe Black,1998,8.0,219 528
Могила светлячков,257,"Япония, США","аниме, мультфильм",Hotaru no haka,1988,8.2,57 971
Кунг-фу Панда,258,США,"мультфильм, боевик",Kung Fu Panda,2008,7.8,219 219
Пока не сыграл в ящик,259,США,"драма, комедия","Bucket List, The",2007,8.0,206 040
Предложение,260,США,"мелодрама, комедия","Proposal, The",2009,7.6,227 564
История игрушек 2,261,США,"мультфильм, фэнтези",Toy Story 2,1999,7.8,116 071
Октябрьское небо,262,США,"драма, семейный",October Sky,1999,8.0,54 008
Труп невесты,263,"США, Великобритания","мультфильм, мюзикл",Corpse Bride,2005,7.8,145 261
Такси,264,Франция,"боевик, комедия",Taxi,1998,7.9,204 253
Гангстер,265,"США, Великобритания","драма, криминал",American Gangster,2007,7.9,113 165
Эрин Брокович,266,США,"драма, биография",Erin Brockovich,2000,7.8,56 456
Суперсемейка,267,США,"мультфильм, боевик","Incredibles, The",2004,7.5,191 917
Богемская рапсодия,268,"Великобритания, США","биография, музыка",Bohemian Rhapsody,2018,8.0,339 671
Жестокий романс,269,СССР,"драма, мелодрама",-,1984,8.1,95 068
Курьер,270,СССР,"драма, мелодрама",-,1986,8.0,102 201
Охота,271,"Дания, Швеция",драма,Jagten,2012,7.9,96 811
Ветер крепчает,272,Япония,"аниме, мультфильм",Kaze tachinu,2013,7.9,57 863
Выживший,273,"США, Гонконг","приключения, вестерн","Revenant, The",2015,7.8,306 306
Как украсть миллион,274,США,"комедия, криминал",How to Steal a Million,1966,8.2,80 620
Огни большого города,275,США,"комедия, мелодрама",City Lights,1931,8.5,54 418
Догвилль,276,"Дания, Нидерланды","триллер, драма",Dogville,2003,7.9,118 887
Собачья жизнь,277,"США, Индия","фэнтези, драма",A Dog's Purpose,2017,7.9,114 868
Заплати другому,278,США,драма,Pay It Forward,2000,8.1,132 276
Хороший год,279,"США, Великобритания","драма, мелодрама",A Good Year,2006,7.7,92 960
Стажёр,280,США,"мелодрама, комедия","Intern, The",2015,7.6,215 250
Невероятная жизнь Уолтера Митти,281,"США, Великобритания","комедия, приключения","Secret Life of Walter Mitty, The",2013,7.7,204 785
Нокдаун,282,США,"драма, мелодрама",Cinderella Man,2005,8.2,123 734
Отец,283,"Великобритания, Франция",драма,"Father, The",2020,7.9,26 110
Королевство полной луны,284,США,"семейный, комедия",Moonrise Kingdom,2012,7.6,133 112
Психо,285,США,"триллер, ужасы",Psycho,1960,8.1,110 659
Планета Ка-Пэкс,286,"Германия, США","фантастика, драма",K-PAX,2001,8.0,166 049
Коралина в Стране Кошмаров,287,США,"мультфильм, фэнтези",Coraline,2008,7.7,131 127
Планета сокровищ,288,США,"мультфильм, фантастика",Treasure Planet,2002,8.1,58 854
Звёздные войны: Эпизод 2 – Атака клонов,289,США,"фантастика, боевик",Star Wars: Episode II - Attack of the Clones,2002,8.0,203 914
Ворошиловский стрелок,290,Россия,"драма, криминал",-,1999,7.8,135 589
В случае убийства набирайте `М`,291,США,"фильм-нуар, триллер",Dial M for Murder,1954,8.1,38 342
12 лет рабства,292,"США, Великобритания","драма, биография",12 Years a Slave,2013,7.7,193 130
Судья,293,США,драма,"Judge, The",2014,7.8,164 049
Бёрдмэн,294,США,"драма, комедия",Birdman or (The Unexpected Virtue of Ignorance),2014,7.6,192 056
Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,295,СССР,"криминал, детектив",-,1980,8.4,87 469
Бэтмен: Начало,296,"США, Великобритания","боевик, фантастика",Batman Begins,2005,7.9,261 656
Дитя погоды,297,Япония,"аниме, мультфильм",Tenki no ko,2019,7.9,53 368
Расправь крылья,298,"Франция, Норвегия","драма, семейный",Donne-moi des ailes,2019,8.0,44 494
Цельнометаллическая оболочка,299,"Великобритания, США","драма, военный",Full Metal Jacket,1987,8.0,124 237
Маска,300,США,"комедия, фэнтези","Mask, The",1994,8.0,276 588
Того,301,США,"драма, приключения",Togo,2019,8.0,54 502
Андрей Рублев,302,СССР,"драма, биография",-,1966,8.2,47 640
Человек-паук,303,США,"фантастика, боевик",Spider-Man,2002,7.6,253 332
День выборов,304,Россия,комедия,-,2007,7.8,101 170
Реквием по мечте,305,США,драма,Requiem for a Dream,2000,8.0,283 250
Аватар,306,"США, Великобритания","фантастика, боевик",Avatar,2009,7.9,625 288
Господин Никто,307,"Бельгия, Германия","фантастика, мелодрама",Mr. Nobody,2009,7.9,212 992
Апокалипсис сегодня,308,США,"военный, драма",Apocalypse Now,1979,8.1,102 271
Жизнь Дэвида Гейла,309,"США, Германия","триллер, драма","Life of David Gale, The",2002,8.1,151 442
Ученик чудовища,310,Япония,"аниме, мультфильм",Bakemono no ko,2015,8.0,32 594
"Ван Гог. С любовью, Винсент",311,"Польша, Великобритания","мультфильм, биография",Loving Vincent,2017,8.2,33 263
Кролик Джоджо,312,"Новая Зеландия, Чехия","драма, комедия",Jojo Rabbit,2019,7.9,93 353
Мальчишник в Вегасе,313,США,комедия,"Hangover, The",2009,7.9,278 058
Танцующий с волками,314,"США, Великобритания","драма, вестерн",Dances with Wolves,1990,8.1,56 104
Семь самураев,315,Япония,"драма, приключения",Shichinin no samurai,1954,8.2,41 673
Чудо,316,"США, Гонконг","драма, семейный",Wonder,2017,8.0,159 347
Алеша Попович и Тугарин Змей,317,Россия,"мультфильм, комедия",-,2004,7.7,174 665
Чтец,318,"Германия, США","драма, мелодрама","Reader, The",2008,7.9,119 591
Не может быть!,319,СССР,"мелодрама, комедия",-,1975,8.1,96 399
Гарри Поттер и Дары Смерти: Часть I,320,"Великобритания, США","фэнтези, приключения",Harry Potter and the Deathly Hallows: Part 1,2010,7.8,340 634
Призрак в доспехах,321,Япония,"аниме, мультфильм",Kokaku kidotai,1995,8.0,47 793
Человек с бульвара Капуцинов,322,СССР,"комедия, вестерн",-,1987,8.0,88 861
Анастасия,323,США,"мультфильм, мюзикл",Anastasia,1997,8.1,138 428
Убить Билла,324,"США, Япония","боевик, триллер",Kill Bill: Vol. 1,2003,7.6,209 709
Дневник памяти,325,США,"драма, мелодрама","Notebook, The",2004,8.2,302 283
Гарри Поттер и Орден Феникса,326,"Великобритания, США","фэнтези, приключения",Harry Potter and the Order of the Phoenix,2007,7.7,330 232
Джокер,327,"США, Канада","триллер, драма",Joker,2019,8.0,436 975
Обыкновенное чудо,328,СССР,"мюзикл, фэнтези",-,1978,8.2,78 558
Амадей,329,"США, Франция","драма, биография",Amadeus,1984,8.2,56 617
На игле,330,Великобритания,"драма, криминал",Trainspotting,1995,7.9,148 983
Законопослушный гражданин,331,США,"боевик, триллер",Law Abiding Citizen,2009,8.0,336 220
Кошмар перед Рождеством,332,США,"мультфильм, мюзикл","Nightmare Before Christmas, The",1993,8.0,94 141
Покровские ворота,333,СССР,"мюзикл, драма",-,1982,8.2,97 182
Город героев,334,"США, Япония","мультфильм, фантастика",Big Hero 6,2014,7.9,192 978
Я – легенда,335,США,"фантастика, боевик",I Am Legend,2007,7.9,335 384
Правила съема: Метод Хитча,336,США,"мелодрама, комедия",Hitch,2005,7.7,180 598
Пила: Игра на выживание,337,США,"ужасы, триллер",Saw,2004,7.8,147 720
Безумный Макс: Дорога ярости,338,"Австралия, США","боевик, фантастика",Mad Max: Fury Road,2015,7.8,311 293
Геркулес,339,"США, Франция","мультфильм, мюзикл",Hercules,1997,8.1,75 980
Нечто,340,США,"ужасы, фантастика","Thing, The",1982,7.9,89 854
Отпуск по обмену,341,США,"мелодрама, комедия","Holiday, The",2006,7.6,178 759
Уроки фарси,342,"Россия, Германия","драма, военный",Persian Lessons,2020,7.9,37 220
Радио,343,США,"драма, биография",Radio,2003,7.9,16 054
Мост в Терабитию,344,США,"фэнтези, драма",Bridge to Terabithia,2006,7.8,142 800
Земля до начала времен,345,"США, Ирландия","мультфильм, драма","Land Before Time, The",1988,8.0,60 310
Гараж,346,СССР,"драма, комедия",-,1979,8.0,78 129
Убить Билла 2,347,США,"боевик, триллер",Kill Bill: Vol. 2,2004,7.5,161 904
101 далматинец,348,США,"мультфильм, семейный",One Hundred and One Dalmatians,1961,8.0,80 865
Хищник,349,"США, Мексика","фантастика, боевик",Predator,1987,7.9,136 060
Город грехов,350,США,"боевик, триллер",Sin City,2005,7.9,210 653
Гамильтон,351,США,"мюзикл, драма",Hamilton,2020,8.3,1 779
Афоня,352,СССР,"драма, мелодрама",-,1975,8.0,125 791
Kingsman: Секретная служба,353,"Великобритания, США","боевик, комедия",Kingsman: The Secret Service,2015,7.6,308 998
Одиннадцать друзей Оушена,354,США,"триллер, криминал",Ocean's Eleven,2001,8.1,300 237
Мемуары гейши,355,"США, Япония","драма, мелодрама",Memoirs of a Geisha,2005,8.0,109 520
Писатели свободы,356,"Германия, США","драма, криминал",Freedom Writers,2006,8.0,45 514
Маленький принц,357,"Франция, Канада","мультфильм, фэнтези",Le Petit Prince,2015,7.9,54 548
Собачья жизнь 2,358,"США, Китай","фэнтези, драма",A Dog's Journey,2019,8.0,62 879
Типа крутые легавые,359,"Великобритания, Франция","боевик, триллер",Hot Fuzz,2007,7.6,140 751
Патриот,360,"США, Германия","боевик, драма","Patriot, The",2000,7.9,71 348
Шерлок Холмс и доктор Ватсон: Двадцатый век начинается,361,СССР,"триллер, криминал",-,1986,8.2,45 988
Ла-Ла Ленд,362,"США, Гонконг","мюзикл, драма",La La Land,2016,7.9,224 944
Схватка,363,США,"триллер, драма",Heat,1995,8.0,114 402
Холодное лето пятьдесят третьего...,364,СССР,"драма, криминал",-,1987,8.1,56 970
Век Адалин,365,"США, Канада","драма, мелодрама","Age of Adaline, The",2015,7.6,207 435
Нефть,366,США,драма,There Will Be Blood,2007,7.8,92 847
Логан,367,США,"фантастика, боевик",Logan,2017,7.5,255 267
Полночь в Париже,368,"США, Испания","фэнтези, мелодрама",Midnight in Paris,2011,7.7,155 050
Учитель на замену,369,США,драма,Detachment,2011,7.8,90 710
Лило и Стич,370,США,"мультфильм, фантастика",Lilo & Stitch,2002,7.6,63 183
Ковбой Бибоп,371,"Япония, США","аниме, мультфильм",Cowboy Bebop: Tengoku no tobira,2001,7.9,15 598
Моана,372,США,"мультфильм, мюзикл",Moana,2016,7.6,241 691
Сталкер,373,СССР,"фантастика, драма",-,1979,8.1,93 135
Фрида,374,"Мексика, США","драма, мелодрама",Frida,2002,7.9,52 076
На несколько долларов больше,375,"Италия, Испания","вестерн, драма",Per qualche dollaro in più,1965,8.2,50 854
Эдвард руки-ножницы,376,США,"фэнтези, драма",Edward Scissorhands,1990,8.0,181 349
Шерлок Холмс: Игра теней,377,"США, Великобритания","боевик, приключения",Sherlock Holmes: A Game of Shadows,2011,7.8,255 708
ДМБ,378,Россия,комедия,-,2000,7.8,48 613
Вперёд,379,США,"мультфильм, фэнтези",Onward,2019,7.7,96 332
Искусственный разум,380,"США, Великобритания","фантастика, драма",Artificial Intelligence: AI,2001,7.9,129 482
Ральф,381,США,"мультфильм, фэнтези",Wreck-It Ralph,2012,7.8,163 254
Смертельное оружие,382,США,"боевик, триллер",Lethal Weapon,1987,8.0,76 758
Рапунцель: Запутанная история,383,США,"мультфильм, мюзикл",Tangled,2010,7.9,312 595
1917,384,"США, Великобритания","военный, боевик",1917,2019,7.9,140 374
Индиана Джонс: В поисках утраченного ковчега,385,США,"приключения, боевик",Raiders of the Lost Ark,1981,8.0,120 408
Секреты Лос-Анджелеса,386,США,"триллер, драма",L.A. Confidential,1997,7.9,76 465
…А в душе я танцую,387,"Великобритания, Ирландия","драма, комедия",Inside I'm Dancing,2004,8.1,147 828
Жизнь Пи,388,"США, Тайвань","фэнтези, драма",Life of Pi,2012,7.8,238 933
Форсаж,389,"США, Германия","боевик, триллер","Fast and the Furious, The",2001,7.7,181 457
Невидимый гость,390,Испания,"триллер, драма",Contratiempo,2016,7.8,210 081
Убойные каникулы,391,Канада,"ужасы, комедия",Tucker and Dale vs Evil,2010,7.6,154 919
Шерлок Холмс и доктор Ватсон: Король шантажа,392,СССР,"криминал, детектив",-,1980,8.3,82 357
Мумия,393,"США, Великобритания","фэнтези, приключения","Mummy, The",1999,7.8,170 655
Матрица: Революция,394,США,"фантастика, боевик","Matrix Revolutions, The",2003,7.6,176 363
Белорусский вокзал,395,СССР,драма,-,1971,8.1,19 479
Десять негритят,396,СССР,"криминал, детектив",-,1987,8.1,53 114
Опасная игра Слоун,397,"Франция, США","триллер, драма",Miss Sloane,2016,7.7,95 588
Темные воды,398,США,"триллер, драма",Dark Waters,2019,7.7,69 250
Невероятные приключения итальянцев в России,399,"СССР, Италия","комедия, приключения",-,1973,8.0,141 410
Человек-слон,400,"США, Великобритания","драма, биография","Elephant Man, The",1980,8.1,58 251
Полосатый рейс,401,СССР,"комедия, семейный",-,1961,8.0,103 491
Три плюс два,402,СССР,"мелодрама, комедия",-,1963,8.0,83 415
Любовное настроение,403,Гонконг,"драма, мелодрама",Faa yeung nin wa,2000,7.9,26 854
Амели,404,"Франция, Германия","мелодрама, комедия","Fabuleux destin d'Amélie Poulain, Le",2001,8.0,244 454
Парк Юрского периода,405,США,"приключения, фантастика",Jurassic Park,1993,7.8,137 708
Леди и бродяга,406,США,"мультфильм, драма",Lady and the Tramp,1955,8.2,110 620
Майор Пэйн,407,США,"комедия, приключения",Major Payne,1995,7.6,105 345
Стражи Галактики. Часть 2,408,США,"фантастика, боевик",Guardians of the Galaxy Vol. 2,2017,7.6,317 237
Как приручить дракона 2,409,США,"мультфильм, фэнтези",How to Train Your Dragon 2,2014,7.9,203 086
Бемби,410,США,"мультфильм, драма",Bambi,1942,8.1,62 947
Залечь на дно в Брюгге,411,"Великобритания, США","комедия, криминал",In Bruges,2007,7.8,189 928
Бункер,412,"Германия, Австрия","драма, военный",Der Untergang,2004,7.8,37 348
Воин,413,США,"драма, спорт",Warrior,2011,8.0,160 141
Самая обаятельная и привлекательная,414,СССР,"мелодрама, комедия",-,1985,8.1,89 877
Укрась прощальное утро цветами обещания,415,Япония,"аниме, мультфильм",Sayonara no asa ni yakusoku no hana o kazaro,2018,7.9,37 540
Клуб `Завтрак`,416,США,"драма, комедия","Breakfast Club, The",1985,8.0,71 055
Я шагаю по Москве,417,СССР,"мелодрама, комедия",-,1963,8.0,41 870
Артист,418,"Франция, Бельгия","драма, мелодрама","Artist, The",2011,7.9,90 553
Интервью с вампиром,419,США,"ужасы, фэнтези",Interview with the Vampire: The Vampire Chronicles,1994,8.0,186 006
"Я, робот",420,"США, Германия","фантастика, боевик","I, Robot",2004,7.8,277 615
Грязь,421,"Великобритания, Германия","криминал, комедия",Filth,2013,7.6,214 674
Цветы войны,422,"Китай, Гонконг","военный, боевик",Jin ling shi san chai,2011,7.9,40 882
Рыбка Поньо на утесе,423,Япония,"аниме, мультфильм",Gake no ue no Ponyo,2008,7.8,54 603
Красный Дракон,424,"Германия, США","триллер, драма",Red Dragon,2002,7.8,96 309
Всегда говори `ДА`,425,"США, Великобритания",комедия,Yes Man,2008,7.8,237 978
Отпетые мошенники,426,США,"комедия, криминал",Dirty Rotten Scoundrels,1988,8.0,38 550
Блеф,427,Италия,"комедия, криминал",Bluff storia di truffe e di imbroglioni,1976,8.2,94 515
Эйс Вентура: Розыск домашних животных,428,США,"комедия, детектив",Ace Ventura: Pet Detective,1993,7.8,141 150
Перед рассветом,429,"США, Австрия","драма, мелодрама",Before Sunrise,1995,7.9,31 409
Доживем до понедельника,430,СССР,"мелодрама, драма",-,1968,8.1,37 402
Шёпот сердца,431,Япония,"аниме, мультфильм",Mimi wo sumaseba,1995,8.3,38 439
Девять ярдов,432,США,"комедия, криминал","Whole Nine Yards, The",2000,7.7,107 320
Царство небесное,433,"США, Испания","боевик, драма",Kingdom of Heaven,2005,7.6,102 373
Окно во двор,434,США,"триллер, детектив",Rear Window,1954,8.0,48 679
Социальная сеть,435,США,"драма, биография","Social Network, The",2010,7.7,259 152
Формула любви,436,СССР,"мелодрама, комедия",-,1984,8.2,50 636
Большой Лебовски,437,"США, Великобритания","комедия, криминал","Big Lebowski, The",1998,7.8,180 934
Матрица: Перезагрузка,438,США,"фантастика, боевик","Matrix Reloaded, The",2003,7.7,204 584
Казино Рояль,439,"Великобритания, Чехия","боевик, триллер",Casino Royale,2006,7.7,145 917
Охотники за привидениями,440,США,"фантастика, фэнтези",Ghostbusters,1984,8.0,129 896
Таинственная река,441,"США, Австралия","триллер, драма",Mystic River,2003,7.8,95 293
Парфюмер: История одного убийцы,442,"Германия, Франция","драма, криминал",Perfume: The Story of a Murderer,2006,7.7,196 292
Похождения императора,443,США,"мультфильм, фэнтези","Emperor's New Groove, The",2000,7.9,58 646
Меня зовут Кхан,444,"Индия, США",драма,My Name Is Khan,2010,8.1,71 859
Легенды осени,445,США,"драма, мелодрама",Legends of the Fall,1994,8.0,73 480
Отверженные,446,"Великобритания, США","мюзикл, драма",Les Misérables,2012,7.9,83 930
Невозможное,447,"Испания, Таиланд",драма,Lo imposible,2012,7.9,104 582
Особенности национальной охоты,448,Россия,комедия,-,1995,7.6,101 376
Святые из Бундока,449,"США, Канада","боевик, триллер","Boondock Saints, The",1999,7.9,116 133
Ип Ман,450,"Гонконг, Китай","биография, боевик",Yip Man,2008,8.2,85 369
Гадкий я,451,"США, Франция","мультфильм, фэнтези",Despicable Me,2010,7.7,201 952
Рокки,452,США,"драма, спорт",Rocky,1976,8.0,96 101
Банды Нью-Йорка,453,"США, Германия","драма, криминал",Gangs of New York,2002,7.7,150 793
Бронкская история,454,США,"драма, мелодрама",A Bronx Tale,1993,8.0,34 110
Миллионер из трущоб,455,"Великобритания, США","драма, мелодрама",Slumdog Millionaire,2008,7.7,209 461
Грязные танцы,456,США,"драма, мелодрама",Dirty Dancing,1987,8.0,105 715
Кин-дза-дза!,457,СССР,"фантастика, драма",-,1986,7.9,133 304
Великая красота,458,"Италия, Франция","драма, комедия",La grande bellezza,2013,7.6,34 488
Нюрнбергский процесс,459,США,"драма, военный",Judgment at Nuremberg,1961,8.1,14 618
300 спартанцев,460,"США, Канада","боевик, драма",300,2007,7.6,205 958
Разрисованная вуаль,461,"США, Канада","драма, мелодрама","Painted Veil, The",2006,7.9,83 336
Остров,462,Россия,драма,-,2006,7.9,67 718
Бегущий по лезвию,463,США,"фантастика, триллер",Blade Runner,1982,7.7,133 782
"Я, Эрл и умирающая девушка",464,США,"драма, комедия",Me and Earl and the Dying Girl,2015,7.6,40 973
Вечера на хуторе близ Диканьки,465,СССР,"фэнтези, мелодрама",-,1961,8.0,82 516
Один день,466,"США, Великобритания","драма, мелодрама",One Day,2011,7.7,128 911
Иллюзионист,467,"США, Чехия","фэнтези, триллер","Illusionist, The",2005,8.0,252 142
"В лес, где мерцают светлячки",468,Япония,"аниме, мультфильм",Hotarubi no mori e,2011,8.2,22 767
"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",469,"Великобритания, США","триллер, комедия",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1963,8.1,45 609
Игра в имитацию,470,"Великобритания, США","триллер, драма","Imitation Game, The",2014,7.6,201 201
Восхождение,471,СССР,"драма, военный",-,1976,8.1,13 158
Танцующая в темноте,472,"Дания, Швеция","мюзикл, драма",Dancer in the Dark,2000,7.9,51 652
Живая сталь,473,"США, Индия","фантастика, боевик",Real Steel,2011,7.6,300 116
Чарли и шоколадная фабрика,474,США,"мюзикл, фэнтези",Charlie and the Chocolate Factory,2005,7.6,279 823
Проклятый путь,475,США,"триллер, драма",Road to Perdition,2002,7.6,63 249
Спящая красавица,476,США,"мультфильм, мюзикл",Sleeping Beauty,1958,8.0,51 689
"Человек, который изменил всё",477,США,"биография, спорт",Moneyball,2011,7.7,125 092
Белый плен,478,"США, Канада","драма, приключения",Eight Below,2005,8.1,129 012
Университет монстров,479,США,"мультфильм, фэнтези",Monsters University,2013,7.6,153 689
Приключения Паддингтона 2,480,"Великобритания, Франция","фэнтези, комедия",Paddington 2,2017,7.7,78 732
Бегущий по лезвию 2049,481,"США, Великобритания","фантастика, боевик",Blade Runner 2049,2017,7.7,224 590
Контакт,482,США,"фантастика, триллер",Contact,1997,7.9,59 815
Олдбой,483,Корея Южная,"триллер, детектив",Oldeuboi,2003,8.1,113 388
Подмена,484,США,"триллер, драма",Changeling,2008,7.9,177 420
Лев,485,"Великобритания, Австралия","драма, биография",Lion,2016,7.7,60 402
Иваново детство,486,СССР,"драма, военный",-,1962,8.0,38 648
История рыцаря,487,США,"боевик, мелодрама",A Knight's Tale,2001,7.8,70 637
12 обезьян,488,США,"фантастика, триллер",Twelve Monkeys,1995,7.8,119 385
Персона,489,Швеция,"триллер, драма",Persona,1966,8.1,19 927
Час пик,490,США,"боевик, комедия",Rush Hour,1998,7.7,112 844
Игрушка,491,Франция,"драма, комедия",Le jouet,1976,8.0,61 308
Мужики!..,492,СССР,драма,-,1981,8.1,50 843
Атлантида: Затерянный мир,493,США,"мультфильм, фантастика",Atlantis: The Lost Empire,2001,7.8,50 882
Однажды в Ирландии,494,Ирландия,"триллер, комедия","Guard, The",2011,7.6,88 057
На гребне волны,495,"США, Япония","боевик, триллер",Point Break,1991,7.8,88 491
Исходный код,496,"США, Канада","фантастика, боевик",Source Code,2011,7.8,340 509
Белые росы,497,СССР,"драма, мелодрама",-,1983,8.2,32 570
Мстители: Финал,498,США,"фантастика, боевик",Avengers: Endgame,2019,7.6,476 848
Истребитель демонов: Поезд «Бесконечный»,499,Япония,"аниме, мультфильм",Kimetsu no Yaiba: Mugen Ressha-Hen,2020,7.9,12 240
Ганнибал,500,"США, Великобритания","триллер, драма",Hannibal,2001,7.7,107 100
