,title,position,country,genre,original name,year,rating,count,rating_IMBD,position_IMDB,2010-2021,2000-2009,1990-1999,1980-1989,before 1980,delta,main_genre
327,Обыкновенное чудо,328,СССР,"мюзикл, фэнтези",-,1978,8.2,78 558,,,0,0,0,0,1,,мюзикл
328,Амадей,329,"США, Франция","драма, биография",Amadeus,1984,8.2,56 617,8.3,111.0,0,0,0,1,0,-0.10000000000000142,драма
329,На игле,330,Великобритания,"драма, криминал",Trainspotting,1995,7.9,148 983,8.1,260.0,0,0,1,0,0,-0.1999999999999993,драма
330,Законопослушный гражданин,331,США,"боевик, триллер",Law Abiding Citizen,2009,8.0,336 220,,,0,1,0,0,0,,боевик
331,Кошмар перед Рождеством,332,США,"мультфильм, мюзикл","Nightmare Before Christmas, The",1993,8.0,94 141,8.0,406.0,0,0,1,0,0,0.0,мультфильм
332,Покровские ворота,333,СССР,"мюзикл, драма",-,1982,8.2,97 182,,,0,0,0,1,0,,мюзикл
333,Город героев,334,"США, Япония","мультфильм, фантастика",Big Hero 6,2014,7.9,192 978,,,1,0,0,0,0,,мультфильм
334,Я – легенда,335,США,"фантастика, боевик",I Am Legend,2007,7.9,335 384,,,0,1,0,0,0,,фантастика
335,Правила съема: Метод Хитча,336,США,"мелодрама, комедия",Hitch,2005,7.7,180 598,,,0,1,0,0,0,,мелодрама
336,Пила: Игра на выживание,337,США,"ужасы, триллер",Saw,2004,7.8,147 720,,,0,1,0,0,0,,ужасы
337,Безумный Макс: Дорога ярости,338,"Австралия, США","боевик, фантастика",Mad Max: Fury Road,2015,7.8,311 293,8.1,225.0,1,0,0,0,0,-0.2999999999999998,боевик
338,Геркулес,339,"США, Франция","мультфильм, мюзикл",Hercules,1997,8.1,75 980,,,0,0,1,0,0,,мультфильм
339,Нечто,340,США,"ужасы, фантастика","Thing, The",1982,7.9,89 854,8.1,280.0,0,0,0,1,0,-0.1999999999999993,ужасы
340,Отпуск по обмену,341,США,"мелодрама, комедия","Holiday, The",2006,7.6,178 759,,,0,1,0,0,0,,мелодрама
341,Уроки фарси,342,"Россия, Германия","драма, военный",Persian Lessons,2020,7.9,37 220,,,1,0,0,0,0,,драма
342,Радио,343,США,"драма, биография",Radio,2003,7.9,16 054,,,0,1,0,0,0,,драма
343,Мост в Терабитию,344,США,"фэнтези, драма",Bridge to Terabithia,2006,7.8,142 800,,,0,1,0,0,0,,фэнтези
344,Земля до начала времен,345,"США, Ирландия","мультфильм, драма","Land Before Time, The",1988,8.0,60 310,,,0,0,0,1,0,,мультфильм
345,Гараж,346,СССР,"драма, комедия",-,1979,8.0,78 129,,,0,0,0,0,1,,драма
346,Убить Билла 2,347,США,"боевик, триллер",Kill Bill: Vol. 2,2004,7.5,161 904,8.0,383.0,0,1,0,0,0,-0.5,боевик
347,101 далматинец,348,США,"мультфильм, семейный",One Hundred and One Dalmatians,1961,8.0,80 865,,,0,0,0,0,1,,мультфильм
348,Хищник,349,"США, Мексика","фантастика, боевик",Predator,1987,7.9,136 060,,,0,0,0,1,0,,фантастика
349,Город грехов,350,США,"боевик, триллер",Sin City,2005,7.9,210 653,8.0,377.0,0,1,0,0,0,-0.09999999999999964,боевик
350,Гамильтон,351,США,"мюзикл, драма",Hamilton,2020,8.3,1 779,8.5,35.0,1,0,0,0,0,-0.1999999999999993,мюзикл
351,Афоня,352,СССР,"драма, мелодрама",-,1975,8.0,125 791,,,0,0,0,0,1,,драма
352,Kingsman: Секретная служба,353,"Великобритания, США","боевик, комедия",Kingsman: The Secret Service,2015,7.6,308 998,,,1,0,0,0,0,,боевик
353,Одиннадцать друзей Оушена,354,США,"триллер, криминал",Ocean's Eleven,2001,8.1,300 237,,,0,1,0,0,0,,триллер
354,Мемуары гейши,355,"США, Япония","драма, мелодрама",Memoirs of a Geisha,2005,8.0,109 520,,,0,1,0,0,0,,драма
355,Писатели свободы,356,"Германия, США","драма, криминал",Freedom Writers,2006,8.0,45 514,,,0,1,0,0,0,,драма
356,Маленький принц,357,"Франция, Канада","мультфильм, фэнтези",Le Petit Prince,2015,7.9,54 548,,,1,0,0,0,0,,мультфильм
357,Собачья жизнь 2,358,"США, Китай","фэнтези, драма",A Dog's Journey,2019,8.0,62 879,,,1,0,0,0,0,,фэнтези
358,Типа крутые легавые,359,"Великобритания, Франция","боевик, триллер",Hot Fuzz,2007,7.6,140 751,,,0,1,0,0,0,,боевик
359,Патриот,360,"США, Германия","боевик, драма","Patriot, The",2000,7.9,71 348,,,0,1,0,0,0,,боевик
360,Шерлок Холмс и доктор Ватсон: Двадцатый век начинается,361,СССР,"триллер, криминал",-,1986,8.2,45 988,,,0,0,0,1,0,,триллер
361,Ла-Ла Ленд,362,"США, Гонконг","мюзикл, драма",La La Land,2016,7.9,224 944,8.0,340.0,1,0,0,0,0,-0.09999999999999964,мюзикл
362,Схватка,363,США,"триллер, драма",Heat,1995,8.0,114 402,8.2,168.0,0,0,1,0,0,-0.1999999999999993,триллер
363,Холодное лето пятьдесят третьего...,364,СССР,"драма, криминал",-,1987,8.1,56 970,,,0,0,0,1,0,,драма
364,Век Адалин,365,"США, Канада","драма, мелодрама","Age of Adaline, The",2015,7.6,207 435,,,1,0,0,0,0,,драма
365,Нефть,366,США,драма,There Will Be Blood,2007,7.8,92 847,8.2,155.0,0,1,0,0,0,-0.39999999999999947,драма
366,Логан,367,США,"фантастика, боевик",Logan,2017,7.5,255 267,8.1,204.0,1,0,0,0,0,-0.5999999999999996,фантастика
367,Полночь в Париже,368,"США, Испания","фэнтези, мелодрама",Midnight in Paris,2011,7.7,155 050,,,1,0,0,0,0,,фэнтези
368,Учитель на замену,369,США,драма,Detachment,2011,7.8,90 710,,,1,0,0,0,0,,драма
369,Лило и Стич,370,США,"мультфильм, фантастика",Lilo & Stitch,2002,7.6,63 183,,,0,1,0,0,0,,мультфильм
370,Ковбой Бибоп,371,"Япония, США","аниме, мультфильм",Cowboy Bebop: Tengoku no tobira,2001,7.9,15 598,,,0,1,0,0,0,,аниме
371,Моана,372,США,"мультфильм, мюзикл",Moana,2016,7.6,241 691,,,1,0,0,0,0,,мультфильм
372,Сталкер,373,СССР,"фантастика, драма",-,1979,8.1,93 135,8.1,285.0,0,0,0,0,1,0.0,фантастика
373,Фрида,374,"Мексика, США","драма, мелодрама",Frida,2002,7.9,52 076,,,0,1,0,0,0,,драма
374,На несколько долларов больше,375,"Италия, Испания","вестерн, драма",Per qualche dollaro in più,1965,8.2,50 854,8.2,182.0,0,0,0,0,1,0.0,вестерн
375,Эдвард руки-ножницы,376,США,"фэнтези, драма",Edward Scissorhands,1990,8.0,181 349,,,0,0,1,0,0,,фэнтези
376,Шерлок Холмс: Игра теней,377,"США, Великобритания","боевик, приключения",Sherlock Holmes: A Game of Shadows,2011,7.8,255 708,,,1,0,0,0,0,,боевик
377,ДМБ,378,Россия,комедия,-,2000,7.8,48 613,,,0,1,0,0,0,,комедия
378,Вперёд,379,США,"мультфильм, фэнтези",Onward,2019,7.7,96 332,,,1,0,0,0,0,,мультфильм
379,Искусственный разум,380,"США, Великобритания","фантастика, драма",Artificial Intelligence: AI,2001,7.9,129 482,,,0,1,0,0,0,,фантастика
380,Ральф,381,США,"мультфильм, фэнтези",Wreck-It Ralph,2012,7.8,163 254,,,1,0,0,0,0,,мультфильм
381,Смертельное оружие,382,США,"боевик, триллер",Lethal Weapon,1987,8.0,76 758,,,0,0,0,1,0,,боевик
382,Рапунцель: Запутанная история,383,США,"мультфильм, мюзикл",Tangled,2010,7.9,312 595,,,1,0,0,0,0,,мультфильм
383,1917,384,"США, Великобритания","военный, боевик",1917,2019,7.9,140 374,8.3,88.0,1,0,0,0,0,-0.40000000000000036,военный
384,Индиана Джонс: В поисках утраченного ковчега,385,США,"приключения, боевик",Raiders of the Lost Ark,1981,8.0,120 408,8.4,77.0,0,0,0,1,0,-0.40000000000000036,приключения
385,Секреты Лос-Анджелеса,386,США,"триллер, драма",L.A. Confidential,1997,7.9,76 465,8.2,166.0,0,0,1,0,0,-0.29999999999999893,триллер
386,…А в душе я танцую,387,"Великобритания, Ирландия","драма, комедия",Inside I'm Dancing,2004,8.1,147 828,,,0,1,0,0,0,,драма
387,Жизнь Пи,388,"США, Тайвань","фэнтези, драма",Life of Pi,2012,7.8,238 933,,,1,0,0,0,0,,фэнтези
388,Форсаж,389,"США, Германия","боевик, триллер","Fast and the Furious, The",2001,7.7,181 457,,,0,1,0,0,0,,боевик
389,Невидимый гость,390,Испания,"триллер, драма",Contratiempo,2016,7.8,210 081,8.1,200.0,1,0,0,0,0,-0.2999999999999998,триллер
390,Убойные каникулы,391,Канада,"ужасы, комедия",Tucker and Dale vs Evil,2010,7.6,154 919,,,1,0,0,0,0,,ужасы
391,Шерлок Холмс и доктор Ватсон: Король шантажа,392,СССР,"криминал, детектив",-,1980,8.3,82 357,,,0,0,0,1,0,,криминал
392,Мумия,393,"США, Великобритания","фэнтези, приключения","Mummy, The",1999,7.8,170 655,,,0,0,1,0,0,,фэнтези
393,Матрица: Революция,394,США,"фантастика, боевик","Matrix Revolutions, The",2003,7.6,176 363,,,0,1,0,0,0,,фантастика
394,Белорусский вокзал,395,СССР,драма,-,1971,8.1,19 479,,,0,0,0,0,1,,драма
395,Десять негритят,396,СССР,"криминал, детектив",-,1987,8.1,53 114,,,0,0,0,1,0,,криминал
396,Опасная игра Слоун,397,"Франция, США","триллер, драма",Miss Sloane,2016,7.7,95 588,,,1,0,0,0,0,,триллер
397,Темные воды,398,США,"триллер, драма",Dark Waters,2019,7.7,69 250,,,1,0,0,0,0,,триллер
398,Невероятные приключения итальянцев в России,399,"СССР, Италия","комедия, приключения",-,1973,8.0,141 410,,,0,0,0,0,1,,комедия
399,Человек-слон,400,"США, Великобритания","драма, биография","Elephant Man, The",1980,8.1,58 251,8.1,284.0,0,0,0,1,0,0.0,драма
400,Полосатый рейс,401,СССР,"комедия, семейный",-,1961,8.0,103 491,,,0,0,0,0,1,,комедия
401,Три плюс два,402,СССР,"мелодрама, комедия",-,1963,8.0,83 415,,,0,0,0,0,1,,мелодрама
402,Любовное настроение,403,Гонконг,"драма, мелодрама",Faa yeung nin wa,2000,7.9,26 854,8.1,259.0,0,1,0,0,0,-0.1999999999999993,драма
403,Амели,404,"Франция, Германия","мелодрама, комедия","Fabuleux destin d'Amélie Poulain, Le",2001,8.0,244 454,8.3,99.0,0,1,0,0,0,-0.3000000000000007,мелодрама
404,Парк Юрского периода,405,США,"приключения, фантастика",Jurassic Park,1993,7.8,137 708,,,0,0,1,0,0,,приключения
405,Леди и бродяга,406,США,"мультфильм, драма",Lady and the Tramp,1955,8.2,110 620,,,0,0,0,0,1,,мультфильм
406,Майор Пэйн,407,США,"комедия, приключения",Major Payne,1995,7.6,105 345,,,0,0,1,0,0,,комедия
407,Стражи Галактики. Часть 2,408,США,"фантастика, боевик",Guardians of the Galaxy Vol. 2,2017,7.6,317 237,,,1,0,0,0,0,,фантастика
408,Как приручить дракона 2,409,США,"мультфильм, фэнтези",How to Train Your Dragon 2,2014,7.9,203 086,,,1,0,0,0,0,,мультфильм
409,Бемби,410,США,"мультфильм, драма",Bambi,1942,8.1,62 947,,,0,0,0,0,1,,мультфильм
410,Залечь на дно в Брюгге,411,"Великобритания, США","комедия, криминал",In Bruges,2007,7.8,189 928,,,0,1,0,0,0,,комедия
411,Бункер,412,"Германия, Австрия","драма, военный",Der Untergang,2004,7.8,37 348,8.2,161.0,0,1,0,0,0,-0.39999999999999947,драма
412,Воин,413,США,"драма, спорт",Warrior,2011,8.0,160 141,8.1,226.0,1,0,0,0,0,-0.09999999999999964,драма
413,Самая обаятельная и привлекательная,414,СССР,"мелодрама, комедия",-,1985,8.1,89 877,,,0,0,0,1,0,,мелодрама
414,Укрась прощальное утро цветами обещания,415,Япония,"аниме, мультфильм",Sayonara no asa ni yakusoku no hana o kazaro,2018,7.9,37 540,,,1,0,0,0,0,,аниме
415,Клуб `Завтрак`,416,США,"драма, комедия","Breakfast Club, The",1985,8.0,71 055,,,0,0,0,1,0,,драма
416,Я шагаю по Москве,417,СССР,"мелодрама, комедия",-,1963,8.0,41 870,,,0,0,0,0,1,,мелодрама
417,Артист,418,"Франция, Бельгия","драма, мелодрама","Artist, The",2011,7.9,90 553,7.9,491.0,1,0,0,0,0,0.0,драма
418,Интервью с вампиром,419,США,"ужасы, фэнтези",Interview with the Vampire: The Vampire Chronicles,1994,8.0,186 006,,,0,0,1,0,0,,ужасы
419,"Я, робот",420,"США, Германия","фантастика, боевик","I, Robot",2004,7.8,277 615,,,0,1,0,0,0,,фантастика
420,Грязь,421,"Великобритания, Германия","криминал, комедия",Filth,2013,7.6,214 674,,,1,0,0,0,0,,криминал
421,Цветы войны,422,"Китай, Гонконг","военный, боевик",Jin ling shi san chai,2011,7.9,40 882,,,1,0,0,0,0,,военный
422,Рыбка Поньо на утесе,423,Япония,"аниме, мультфильм",Gake no ue no Ponyo,2008,7.8,54 603,,,0,1,0,0,0,,аниме
423,Красный Дракон,424,"Германия, США","триллер, драма",Red Dragon,2002,7.8,96 309,,,0,1,0,0,0,,триллер
424,Всегда говори `ДА`,425,"США, Великобритания",комедия,Yes Man,2008,7.8,237 978,,,0,1,0,0,0,,комедия
425,Отпетые мошенники,426,США,"комедия, криминал",Dirty Rotten Scoundrels,1988,8.0,38 550,,,0,0,0,1,0,,комедия
426,Блеф,427,Италия,"комедия, криминал",Bluff storia di truffe e di imbroglioni,1976,8.2,94 515,,,0,0,0,0,1,,комедия
427,Эйс Вентура: Розыск домашних животных,428,США,"комедия, детектив",Ace Ventura: Pet Detective,1993,7.8,141 150,,,0,0,1,0,0,,комедия
428,Перед рассветом,429,"США, Австрия","драма, мелодрама",Before Sunrise,1995,7.9,31 409,8.1,265.0,0,0,1,0,0,-0.1999999999999993,драма
429,Доживем до понедельника,430,СССР,"мелодрама, драма",-,1968,8.1,37 402,,,0,0,0,0,1,,мелодрама
430,Шёпот сердца,431,Япония,"аниме, мультфильм",Mimi wo sumaseba,1995,8.3,38 439,,,0,0,1,0,0,,аниме
431,Девять ярдов,432,США,"комедия, криминал","Whole Nine Yards, The",2000,7.7,107 320,,,0,1,0,0,0,,комедия
432,Царство небесное,433,"США, Испания","боевик, драма",Kingdom of Heaven,2005,7.6,102 373,,,0,1,0,0,0,,боевик
433,Окно во двор,434,США,"триллер, детектив",Rear Window,1954,8.0,48 679,8.5,53.0,0,0,0,0,1,-0.5,триллер
434,Социальная сеть,435,США,"драма, биография","Social Network, The",2010,7.7,259 152,,,1,0,0,0,0,,драма
435,Формула любви,436,СССР,"мелодрама, комедия",-,1984,8.2,50 636,,,0,0,0,1,0,,мелодрама
436,Большой Лебовски,437,"США, Великобритания","комедия, криминал","Big Lebowski, The",1998,7.8,180 934,8.1,258.0,0,0,1,0,0,-0.2999999999999998,комедия
437,Матрица: Перезагрузка,438,США,"фантастика, боевик","Matrix Reloaded, The",2003,7.7,204 584,,,0,1,0,0,0,,фантастика
438,Казино Рояль,439,"Великобритания, Чехия","боевик, триллер",Casino Royale,2006,7.7,145 917,8.0,382.0,0,1,0,0,0,-0.2999999999999998,боевик
439,Охотники за привидениями,440,США,"фантастика, фэнтези",Ghostbusters,1984,8.0,129 896,,,0,0,0,1,0,,фантастика
440,Таинственная река,441,"США, Австралия","триллер, драма",Mystic River,2003,7.8,95 293,,,0,1,0,0,0,,триллер
441,Парфюмер: История одного убийцы,442,"Германия, Франция","драма, криминал",Perfume: The Story of a Murderer,2006,7.7,196 292,,,0,1,0,0,0,,драма
442,Похождения императора,443,США,"мультфильм, фэнтези","Emperor's New Groove, The",2000,7.9,58 646,,,0,1,0,0,0,,мультфильм
443,Меня зовут Кхан,444,"Индия, США",драма,My Name Is Khan,2010,8.1,71 859,8.0,364.0,1,0,0,0,0,0.09999999999999964,драма
444,Легенды осени,445,США,"драма, мелодрама",Legends of the Fall,1994,8.0,73 480,,,0,0,1,0,0,,драма
445,Отверженные,446,"Великобритания, США","мюзикл, драма",Les Misérables,2012,7.9,83 930,,,1,0,0,0,0,,мюзикл
446,Невозможное,447,"Испания, Таиланд",драма,Lo imposible,2012,7.9,104 582,,,1,0,0,0,0,,драма
447,Особенности национальной охоты,448,Россия,комедия,-,1995,7.6,101 376,,,0,0,1,0,0,,комедия
448,Святые из Бундока,449,"США, Канада","боевик, триллер","Boondock Saints, The",1999,7.9,116 133,,,0,0,1,0,0,,боевик
449,Ип Ман,450,"Гонконг, Китай","биография, боевик",Yip Man,2008,8.2,85 369,8.0,363.0,0,1,0,0,0,0.1999999999999993,биография
450,Гадкий я,451,"США, Франция","мультфильм, фэнтези",Despicable Me,2010,7.7,201 952,,,1,0,0,0,0,,мультфильм
451,Рокки,452,США,"драма, спорт",Rocky,1976,8.0,96 101,8.1,288.0,0,0,0,0,1,-0.09999999999999964,драма
452,Банды Нью-Йорка,453,"США, Германия","драма, криминал",Gangs of New York,2002,7.7,150 793,,,0,1,0,0,0,,драма
453,Бронкская история,454,США,"драма, мелодрама",A Bronx Tale,1993,8.0,34 110,,,0,0,1,0,0,,драма
454,Миллионер из трущоб,455,"Великобритания, США","драма, мелодрама",Slumdog Millionaire,2008,7.7,209 461,8.0,366.0,0,1,0,0,0,-0.2999999999999998,драма
455,Грязные танцы,456,США,"драма, мелодрама",Dirty Dancing,1987,8.0,105 715,,,0,0,0,1,0,,драма
456,Кин-дза-дза!,457,СССР,"фантастика, драма",-,1986,7.9,133 304,,,0,0,0,1,0,,фантастика
457,Великая красота,458,"Италия, Франция","драма, комедия",La grande bellezza,2013,7.6,34 488,,,1,0,0,0,0,,драма
458,Нюрнбергский процесс,459,США,"драма, военный",Judgment at Nuremberg,1961,8.1,14 618,8.2,185.0,0,0,0,0,1,-0.09999999999999964,драма
459,300 спартанцев,460,"США, Канада","боевик, драма",300,2007,7.6,205 958,,,0,1,0,0,0,,боевик
460,Разрисованная вуаль,461,"США, Канада","драма, мелодрама","Painted Veil, The",2006,7.9,83 336,,,0,1,0,0,0,,драма
461,Остров,462,Россия,драма,-,2006,7.9,67 718,,,0,1,0,0,0,,драма
462,Бегущий по лезвию,463,США,"фантастика, триллер",Blade Runner,1982,7.7,133 782,8.1,283.0,0,0,0,1,0,-0.39999999999999947,фантастика
463,"Я, Эрл и умирающая девушка",464,США,"драма, комедия",Me and Earl and the Dying Girl,2015,7.6,40 973,,,1,0,0,0,0,,драма
464,Вечера на хуторе близ Диканьки,465,СССР,"фэнтези, мелодрама",-,1961,8.0,82 516,,,0,0,0,0,1,,фэнтези
465,Один день,466,"США, Великобритания","драма, мелодрама",One Day,2011,7.7,128 911,,,1,0,0,0,0,,драма
466,Иллюзионист,467,"США, Чехия","фэнтези, триллер","Illusionist, The",2005,8.0,252 142,,,0,1,0,0,0,,фэнтези
467,"В лес, где мерцают светлячки",468,Япония,"аниме, мультфильм",Hotarubi no mori e,2011,8.2,22 767,,,1,0,0,0,0,,аниме
468,"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",469,"Великобритания, США","триллер, комедия",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1963,8.1,45 609,8.4,82.0,0,0,0,0,1,-0.3000000000000007,триллер
469,Игра в имитацию,470,"Великобритания, США","триллер, драма","Imitation Game, The",2014,7.6,201 201,8.0,351.0,1,0,0,0,0,-0.40000000000000036,триллер
470,Восхождение,471,СССР,"драма, военный",-,1976,8.1,13 158,,,0,0,0,0,1,,драма
471,Танцующая в темноте,472,"Дания, Швеция","мюзикл, драма",Dancer in the Dark,2000,7.9,51 652,8.0,397.0,0,1,0,0,0,-0.09999999999999964,мюзикл
472,Живая сталь,473,"США, Индия","фантастика, боевик",Real Steel,2011,7.6,300 116,,,1,0,0,0,0,,фантастика
473,Чарли и шоколадная фабрика,474,США,"мюзикл, фэнтези",Charlie and the Chocolate Factory,2005,7.6,279 823,,,0,1,0,0,0,,мюзикл
474,Проклятый путь,475,США,"триллер, драма",Road to Perdition,2002,7.6,63 249,,,0,1,0,0,0,,триллер
475,Спящая красавица,476,США,"мультфильм, мюзикл",Sleeping Beauty,1958,8.0,51 689,,,0,0,0,0,1,,мультфильм
476,"Человек, который изменил всё",477,США,"биография, спорт",Moneyball,2011,7.7,125 092,,,1,0,0,0,0,,биография
477,Белый плен,478,"США, Канада","драма, приключения",Eight Below,2005,8.1,129 012,,,0,1,0,0,0,,драма
478,Университет монстров,479,США,"мультфильм, фэнтези",Monsters University,2013,7.6,153 689,,,1,0,0,0,0,,мультфильм
479,Приключения Паддингтона 2,480,"Великобритания, Франция","фэнтези, комедия",Paddington 2,2017,7.7,78 732,,,1,0,0,0,0,,фэнтези
480,Бегущий по лезвию 2049,481,"США, Великобритания","фантастика, боевик",Blade Runner 2049,2017,7.7,224 590,8.0,353.0,1,0,0,0,0,-0.2999999999999998,фантастика
481,Контакт,482,США,"фантастика, триллер",Contact,1997,7.9,59 815,,,0,0,1,0,0,,фантастика
482,Олдбой,483,Корея Южная,"триллер, детектив",Oldeuboi,2003,8.1,113 388,8.4,73.0,0,1,0,0,0,-0.3000000000000007,триллер
483,Подмена,484,США,"триллер, драма",Changeling,2008,7.9,177 420,,,0,1,0,0,0,,триллер
484,Лев,485,"Великобритания, Австралия","драма, биография",Lion,2016,7.7,60 402,8.0,341.0,1,0,0,0,0,-0.2999999999999998,драма
485,Иваново детство,486,СССР,"драма, военный",-,1962,8.0,38 648,8.1,304.0,0,0,0,0,1,-0.09999999999999964,драма
486,История рыцаря,487,США,"боевик, мелодрама",A Knight's Tale,2001,7.8,70 637,,,0,1,0,0,0,,боевик
487,12 обезьян,488,США,"фантастика, триллер",Twelve Monkeys,1995,7.8,119 385,8.0,404.0,0,0,1,0,0,-0.20000000000000018,фантастика
488,Персона,489,Швеция,"триллер, драма",Persona,1966,8.1,19 927,8.1,297.0,0,0,0,0,1,0.0,триллер
489,Час пик,490,США,"боевик, комедия",Rush Hour,1998,7.7,112 844,,,0,0,1,0,0,,боевик
490,Игрушка,491,Франция,"драма, комедия",Le jouet,1976,8.0,61 308,,,0,0,0,0,1,,драма
491,Мужики!..,492,СССР,драма,-,1981,8.1,50 843,,,0,0,0,1,0,,драма
492,Атлантида: Затерянный мир,493,США,"мультфильм, фантастика",Atlantis: The Lost Empire,2001,7.8,50 882,,,0,1,0,0,0,,мультфильм
493,Однажды в Ирландии,494,Ирландия,"триллер, комедия","Guard, The",2011,7.6,88 057,,,1,0,0,0,0,,триллер
494,На гребне волны,495,"США, Япония","боевик, триллер",Point Break,1991,7.8,88 491,,,0,0,1,0,0,,боевик
495,Исходный код,496,"США, Канада","фантастика, боевик",Source Code,2011,7.8,340 509,,,1,0,0,0,0,,фантастика
496,Белые росы,497,СССР,"драма, мелодрама",-,1983,8.2,32 570,,,0,0,0,1,0,,драма
497,Мстители: Финал,498,США,"фантастика, боевик",Avengers: Endgame,2019,7.6,476 848,8.4,64.0,1,0,0,0,0,-0.8000000000000007,фантастика
498,Истребитель демонов: Поезд «Бесконечный»,499,Япония,"аниме, мультфильм",Kimetsu no Yaiba: Mugen Ressha-Hen,2020,7.9,12 240,,,1,0,0,0,0,,аниме
499,Ганнибал,500,"США, Великобритания","триллер, драма",Hannibal,2001,7.7,107 100,,,0,1,0,0,0,,триллер
